Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:46 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,HEAT (kcal/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 30 ,6/6/2016 11:10:25 PM , 0.5528737 ,6/6/2016 11:12:25 PM , 0.7281119 ,6/6/2016 11:14:25 PM , 0.5513244 ,6/6/2016 11:16:25 PM , 0.5824885 ,6/6/2016 11:20:25 PM , 0.5691013 ,6/6/2016 11:22:25 PM , 0.5000546 ,6/6/2016 11:24:25 PM , 0.5562531 ,6/6/2016 11:26:25 PM , 0.6205279 ,
 31 ,6/6/2016 11:30:25 PM , 0.5610181 ,6/6/2016 11:32:25 PM , 0.5249606 ,6/6/2016 11:34:25 PM , 0.4071106 ,6/6/2016 11:36:25 PM , 0.5977427 ,6/6/2016 11:40:25 PM , 0.5578683 ,6/6/2016 11:42:25 PM , 0.5312751 ,6/6/2016 11:44:25 PM , 0.5917674 ,6/6/2016 11:46:25 PM , 0.645481 ,
 32 ,6/6/2016 11:50:25 PM , 0.5763915 ,6/6/2016 11:52:25 PM , 0.7274855 ,6/6/2016 11:54:25 PM , 0.4139677 ,6/6/2016 11:56:25 PM , 0.4638635 ,6/7/2016 12:00:25 AM , 0.5087393 ,6/7/2016 12:02:25 AM , 0.5197373 ,6/7/2016 12:04:25 AM , 0.5647507 ,6/7/2016 12:06:25 AM , 0.5704221 ,
 33 ,6/7/2016 12:10:25 AM , 0.5821872 ,6/7/2016 12:12:25 AM , 0.7359019 ,6/7/2016 12:14:25 AM , 0.3947353 ,6/7/2016 12:16:25 AM , 0.5438561 ,6/7/2016 12:20:25 AM , 0.5687578 ,6/7/2016 12:22:25 AM , 0.4052505 ,6/7/2016 12:24:25 AM , 0.5488408 ,6/7/2016 12:26:25 AM , 0.5795248 ,
 34 ,6/7/2016 12:30:25 AM , 0.5512994 ,6/7/2016 12:32:25 AM , 0.4618937 ,6/7/2016 12:34:25 AM , 0.6063606 ,6/7/2016 12:36:25 AM , 0.5186904 ,6/7/2016 12:40:25 AM , 0.532245 ,6/7/2016 12:42:25 AM , 0.5428127 ,6/7/2016 12:44:25 AM , 0.4425494 ,6/7/2016 12:46:25 AM , 0.5929732 ,
 35 ,6/7/2016 12:50:25 AM , 0.5578546 ,6/7/2016 12:52:25 AM , 0.8189332 ,6/7/2016 12:54:25 AM , 0.4774537 ,6/7/2016 12:56:25 AM , 0.4645048 ,6/7/2016 1:00:25 AM , 0.5154566 ,6/7/2016 1:02:25 AM , 0.5164847 ,6/7/2016 1:04:25 AM , 0.5433911 ,6/7/2016 1:06:25 AM , 0.5079678 ,
 36 ,6/7/2016 1:10:25 AM , 0.5490091 ,6/7/2016 1:12:25 AM , 0.7500016 ,6/7/2016 1:14:25 AM , 0.4125274 ,6/7/2016 1:16:25 AM , 0.4596069 ,6/7/2016 1:20:25 AM , 0.5246809 ,6/7/2016 1:22:25 AM , 0.4027922 ,6/7/2016 1:24:25 AM , 0.5690294 ,6/7/2016 1:26:25 AM , 0.5891394 ,
 37 ,6/7/2016 1:30:25 AM , 0.5375937 ,6/7/2016 1:32:25 AM , 0.5229613 ,6/7/2016 1:34:25 AM , 0.3890125 ,6/7/2016 1:36:25 AM , 0.4535635 ,6/7/2016 1:40:25 AM , 0.5488617 ,6/7/2016 1:42:25 AM , 0.5803885 ,6/7/2016 1:44:25 AM , 0.4385084 ,6/7/2016 1:46:25 AM , 0.6136915 ,
 38 ,6/7/2016 1:50:25 AM , 0.404144 ,6/7/2016 1:52:25 AM , 0.5608253 ,6/7/2016 1:54:25 AM , 0.5635568 ,6/7/2016 1:56:25 AM , 0.6100319 ,6/7/2016 2:00:25 AM , 0.5367004 ,6/7/2016 2:02:25 AM , 0.5309161 ,6/7/2016 2:04:25 AM , 0.5147614 ,6/7/2016 2:06:25 AM , 0.6077418 ,
 39 ,6/7/2016 2:10:25 AM , 0.5703418 ,6/7/2016 2:12:25 AM , 0.7636704 ,6/7/2016 2:14:25 AM , 0.5779116 ,6/7/2016 2:16:25 AM , 0.5856816 ,6/7/2016 2:20:25 AM , 0.5542971 ,6/7/2016 2:22:25 AM , 0.5165941 ,6/7/2016 2:24:25 AM , 0.5128143 ,6/7/2016 2:26:25 AM , 0.4734026 ,
