Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,XAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 40 ,6/7/2016 2:30:25 AM , 1665 ,6/7/2016 2:32:25 AM , 417 ,6/7/2016 2:34:25 AM , 910 ,6/7/2016 2:36:25 AM , 885 ,6/7/2016 2:40:25 AM , 566 ,6/7/2016 2:42:25 AM , 113 ,6/7/2016 2:44:25 AM , 28 ,6/7/2016 2:46:25 AM , 348 ,
 41 ,6/7/2016 2:50:25 AM , 1289 ,6/7/2016 2:52:25 AM , 356 ,6/7/2016 2:54:25 AM , 394 ,6/7/2016 2:56:25 AM , 479 ,6/7/2016 3:00:25 AM , 337 ,6/7/2016 3:02:25 AM , 19 ,6/7/2016 3:04:25 AM , 111 ,6/7/2016 3:06:25 AM , 152 ,
 42 ,6/7/2016 3:10:25 AM , 1442 ,6/7/2016 3:12:25 AM , 11 ,6/7/2016 3:14:25 AM , 171 ,6/7/2016 3:16:25 AM , 1234 ,6/7/2016 3:20:25 AM , 839 ,6/7/2016 3:22:25 AM , 325 ,6/7/2016 3:24:25 AM , 402 ,6/7/2016 3:26:25 AM , 74 ,
 43 ,6/7/2016 3:30:25 AM , 749 ,6/7/2016 3:32:25 AM , 69 ,6/7/2016 3:34:25 AM , 1055 ,6/7/2016 3:36:25 AM , 388 ,6/7/2016 3:40:25 AM , 896 ,6/7/2016 3:42:25 AM , 82 ,6/7/2016 3:44:25 AM , 16 ,6/7/2016 3:46:25 AM , 164 ,
 44 ,6/7/2016 3:50:25 AM , 1452 ,6/7/2016 3:52:25 AM , 1225 ,6/7/2016 3:54:25 AM , 1652 ,6/7/2016 3:56:25 AM , 267 ,6/7/2016 4:00:25 AM , 10 ,6/7/2016 4:02:25 AM , 12 ,6/7/2016 4:04:25 AM , 26 ,6/7/2016 4:06:25 AM , 92 ,
 45 ,6/7/2016 4:10:25 AM , 1129 ,6/7/2016 4:12:25 AM , 1038 ,6/7/2016 4:14:25 AM , 907 ,6/7/2016 4:16:25 AM , 502 ,6/7/2016 4:20:25 AM , 558 ,6/7/2016 4:22:25 AM , 52 ,6/7/2016 4:24:25 AM , 25 ,6/7/2016 4:26:25 AM , 688 ,
 46 ,6/7/2016 4:30:25 AM , 721 ,6/7/2016 4:32:25 AM , 387 ,6/7/2016 4:34:25 AM , 937 ,6/7/2016 4:36:25 AM , 208 ,6/7/2016 4:40:25 AM , 1668 ,6/7/2016 4:42:25 AM , 28 ,6/7/2016 4:44:25 AM , 450 ,6/7/2016 4:46:25 AM , 593 ,
 47 ,6/7/2016 4:50:25 AM , 1643 ,6/7/2016 4:52:25 AM , 58 ,6/7/2016 4:54:25 AM , 449 ,6/7/2016 4:56:25 AM , 636 ,6/7/2016 5:00:25 AM , 1363 ,6/7/2016 5:02:25 AM , 212 ,6/7/2016 5:04:25 AM , 22 ,6/7/2016 5:06:25 AM , 1463 ,
 48 ,6/7/2016 5:10:25 AM , 986 ,6/7/2016 5:12:25 AM , 695 ,6/7/2016 5:14:25 AM , 816 ,6/7/2016 5:16:25 AM , 1424 ,6/7/2016 5:20:25 AM , 799 ,6/7/2016 5:22:25 AM , 47 ,6/7/2016 5:24:25 AM , 710 ,6/7/2016 5:26:25 AM , 1134 ,
 49 ,6/7/2016 5:30:25 AM , 1787 ,6/7/2016 5:32:25 AM , 1090 ,6/7/2016 5:34:25 AM , 822 ,6/7/2016 5:36:25 AM , 1040 ,6/7/2016 5:40:25 AM , 1717 ,6/7/2016 5:42:25 AM , 399 ,6/7/2016 5:44:25 AM , 800 ,6/7/2016 5:46:25 AM , 728 ,
 50 ,6/7/2016 5:50:25 AM , 968 ,6/7/2016 5:52:25 AM , 1473 ,6/7/2016 5:54:25 AM , 347 ,6/7/2016 5:56:25 AM , 876 ,6/7/2016 6:00:25 AM , 1666 ,6/7/2016 6:02:25 AM , 1026 ,6/7/2016 6:04:25 AM , 350 ,6/7/2016 6:06:25 AM , 787 ,
