Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:41 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,VO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 23 ,6/6/2016 8:50:25 PM , 4113.69 ,6/6/2016 8:52:25 PM , 4542.386 ,6/6/2016 8:54:25 PM , 3160.22 ,6/6/2016 8:56:25 PM , 3635.98 ,6/6/2016 9:00:25 PM , 4288.786 ,6/6/2016 9:02:25 PM , 3678.151 ,6/6/2016 9:04:25 PM , 4421.321 ,6/6/2016 9:06:25 PM , 4114.598 ,
 24 ,6/6/2016 9:10:25 PM , 4136.115 ,6/6/2016 9:12:25 PM , 4971.764 ,6/6/2016 9:14:25 PM , 3648.074 ,6/6/2016 9:16:25 PM , 4322.38 ,6/6/2016 9:20:25 PM , 3854.501 ,6/6/2016 9:22:25 PM , 4335.076 ,6/6/2016 9:24:25 PM , 4361.43 ,6/6/2016 9:26:25 PM , 4107.822 ,
 25 ,6/6/2016 9:30:25 PM , 3975.283 ,6/6/2016 9:32:25 PM , 3449.122 ,6/6/2016 9:34:25 PM , 3683.335 ,6/6/2016 9:36:25 PM , 4124.942 ,6/6/2016 9:40:25 PM , 4325.196 ,6/6/2016 9:42:25 PM , 4110.681 ,6/6/2016 9:44:25 PM , 4239.837 ,6/6/2016 9:46:25 PM , 4198.303 ,
 26 ,6/6/2016 9:50:25 PM , 3878.732 ,6/6/2016 9:52:25 PM , 5350.792 ,6/6/2016 9:54:25 PM , 3409.95 ,6/6/2016 9:56:25 PM , 3315.896 ,6/6/2016 10:00:25 PM , 3262.729 ,6/6/2016 10:02:25 PM , 3731.575 ,6/6/2016 10:04:25 PM , 4311.783 ,6/6/2016 10:06:25 PM , 3835.357 ,
 27 ,6/6/2016 10:10:25 PM , 4168.665 ,6/6/2016 10:12:25 PM , 5503.208 ,6/6/2016 10:14:25 PM , 3779.93 ,6/6/2016 10:16:25 PM , 4033.052 ,6/6/2016 10:20:25 PM , 4457.813 ,6/6/2016 10:22:25 PM , 3660.39 ,6/6/2016 10:24:25 PM , 3950.575 ,6/6/2016 10:26:25 PM , 3930.376 ,
 28 ,6/6/2016 10:30:25 PM , 3991.025 ,6/6/2016 10:32:25 PM , 5263.049 ,6/6/2016 10:34:25 PM , 3658.57 ,6/6/2016 10:36:25 PM , 4085.571 ,6/6/2016 10:40:25 PM , 4203.564 ,6/6/2016 10:42:25 PM , 2975.322 ,6/6/2016 10:44:25 PM , 4395.904 ,6/6/2016 10:46:25 PM , 3836.284 ,
 29 ,6/6/2016 10:50:25 PM , 3722.124 ,6/6/2016 10:52:25 PM , 4828.383 ,6/6/2016 10:54:25 PM , 3531.492 ,6/6/2016 10:56:25 PM , 3915.7 ,6/6/2016 11:00:25 PM , 4289.354 ,6/6/2016 11:02:25 PM , 4045.552 ,6/6/2016 11:04:25 PM , 4242.583 ,6/6/2016 11:06:25 PM , 3901.087 ,
 30 ,6/6/2016 11:10:25 PM , 3757.638 ,6/6/2016 11:12:25 PM , 4932.513 ,6/6/2016 11:14:25 PM , 3707.548 ,6/6/2016 11:16:25 PM , 3808.907 ,6/6/2016 11:20:25 PM , 4063.76 ,6/6/2016 11:22:25 PM , 3538.865 ,6/6/2016 11:24:25 PM , 4096.03 ,6/6/2016 11:26:25 PM , 3872.57 ,
 31 ,6/6/2016 11:30:25 PM , 3882.331 ,6/6/2016 11:32:25 PM , 3591.192 ,6/6/2016 11:34:25 PM , 2690.124 ,6/6/2016 11:36:25 PM , 3922.089 ,6/6/2016 11:40:25 PM , 3971.47 ,6/6/2016 11:42:25 PM , 3729.552 ,6/6/2016 11:44:25 PM , 4346.312 ,6/6/2016 11:46:25 PM , 4021.776 ,
 32 ,6/6/2016 11:50:25 PM , 3962.224 ,6/6/2016 11:52:25 PM , 4995.635 ,6/6/2016 11:54:25 PM , 2731.094 ,6/6/2016 11:56:25 PM , 3036.469 ,6/7/2016 12:00:25 AM , 3651.758 ,6/7/2016 12:02:25 AM , 3673.602 ,6/7/2016 12:04:25 AM , 4151.023 ,6/7/2016 12:06:25 AM , 3567.843 ,
