Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:47 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,FEED1 ACC (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 36 ,6/7/2016 1:10:25 AM , 1.6 ,6/7/2016 1:12:25 AM , 2.22 ,6/7/2016 1:14:25 AM , 1.82 ,6/7/2016 1:16:25 AM , 1.9 ,6/7/2016 1:20:25 AM , 1.45 ,6/7/2016 1:22:25 AM , 1.98 ,6/7/2016 1:24:25 AM , 2.71 ,6/7/2016 1:26:25 AM , 1.64 ,
 37 ,6/7/2016 1:30:25 AM , 1.63 ,6/7/2016 1:32:25 AM , 2.22 ,6/7/2016 1:34:25 AM , 1.83 ,6/7/2016 1:36:25 AM , 1.92 ,6/7/2016 1:40:25 AM , 1.5 ,6/7/2016 1:42:25 AM , 2.02 ,6/7/2016 1:44:25 AM , 2.88 ,6/7/2016 1:46:25 AM , 1.7 ,
 38 ,6/7/2016 1:50:25 AM , 1.65 ,6/7/2016 1:52:25 AM , 2.25 ,6/7/2016 1:54:25 AM , 2.01 ,6/7/2016 1:56:25 AM , 1.94 ,6/7/2016 2:00:25 AM , 1.53 ,6/7/2016 2:02:25 AM , 2.1 ,6/7/2016 2:04:25 AM , 3 ,6/7/2016 2:06:25 AM , 1.7 ,
 39 ,6/7/2016 2:10:25 AM , 1.73 ,6/7/2016 2:12:25 AM , 2.37 ,6/7/2016 2:14:25 AM , 2.05 ,6/7/2016 2:16:25 AM , 2.07 ,6/7/2016 2:20:25 AM , 1.61 ,6/7/2016 2:22:25 AM , 2.14 ,6/7/2016 2:24:25 AM , 3.02 ,6/7/2016 2:26:25 AM , 1.73 ,
 40 ,6/7/2016 2:30:25 AM , 1.8 ,6/7/2016 2:32:25 AM , 2.55 ,6/7/2016 2:34:25 AM , 2.17 ,6/7/2016 2:36:25 AM , 2.15 ,6/7/2016 2:40:25 AM , 1.67 ,6/7/2016 2:42:25 AM , 2.15 ,6/7/2016 2:44:25 AM , 3.02 ,6/7/2016 2:46:25 AM , 1.79 ,
 41 ,6/7/2016 2:50:25 AM , 1.86 ,6/7/2016 2:52:25 AM , 2.62 ,6/7/2016 2:54:25 AM , 2.28 ,6/7/2016 2:56:25 AM , 2.2 ,6/7/2016 3:00:25 AM , 1.68 ,6/7/2016 3:02:25 AM , 2.15 ,6/7/2016 3:04:25 AM , 3.05 ,6/7/2016 3:06:25 AM , 1.85 ,
 42 ,6/7/2016 3:10:25 AM , 1.92 ,6/7/2016 3:12:25 AM , 2.62 ,6/7/2016 3:14:25 AM , 2.35 ,6/7/2016 3:16:25 AM , 2.28 ,6/7/2016 3:20:25 AM , 1.69 ,6/7/2016 3:22:25 AM , 2.22 ,6/7/2016 3:24:25 AM , 3.2 ,6/7/2016 3:26:25 AM , 1.85 ,
 43 ,6/7/2016 3:30:25 AM , 1.97 ,6/7/2016 3:32:25 AM , 2.62 ,6/7/2016 3:34:25 AM , 2.35 ,6/7/2016 3:36:25 AM , 2.31 ,6/7/2016 3:40:25 AM , 1.75 ,6/7/2016 3:42:25 AM , 2.27 ,6/7/2016 3:44:25 AM , 3.2 ,6/7/2016 3:46:25 AM , 1.89 ,
 44 ,6/7/2016 3:50:25 AM , 2.01 ,6/7/2016 3:52:25 AM , 2.84 ,6/7/2016 3:54:25 AM , 2.56 ,6/7/2016 3:56:25 AM , 2.39 ,6/7/2016 4:00:25 AM , 1.75 ,6/7/2016 4:02:25 AM , 2.27 ,6/7/2016 4:04:25 AM , 3.21 ,6/7/2016 4:06:25 AM , 1.9 ,
 45 ,6/7/2016 4:10:25 AM , 1.8 ,6/7/2016 4:12:25 AM , 2.77 ,6/7/2016 4:14:25 AM , 2.72 ,6/7/2016 4:16:25 AM , 2.43 ,6/7/2016 4:20:25 AM , 1.77 ,6/7/2016 4:22:25 AM , 2.21 ,6/7/2016 4:24:25 AM , 3.23 ,6/7/2016 4:26:25 AM , 2.01 ,
