Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,YAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 25 ,6/6/2016 9:30:25 PM , 1396 ,6/6/2016 9:32:25 PM , 115 ,6/6/2016 9:34:25 PM , 418 ,6/6/2016 9:36:25 PM , 814 ,6/6/2016 9:40:25 PM , 823 ,6/6/2016 9:42:25 PM , 396 ,6/6/2016 9:44:25 PM , 1235 ,6/6/2016 9:46:25 PM , 553 ,
 26 ,6/6/2016 9:50:25 PM , 788 ,6/6/2016 9:52:25 PM , 177 ,6/6/2016 9:54:25 PM , 280 ,6/6/2016 9:56:25 PM , 499 ,6/6/2016 10:00:25 PM , 221 ,6/6/2016 10:02:25 PM , 387 ,6/6/2016 10:04:25 PM , 1271 ,6/6/2016 10:06:25 PM , 687 ,
 27 ,6/6/2016 10:10:25 PM , 1510 ,6/6/2016 10:12:25 PM , 525 ,6/6/2016 10:14:25 PM , 286 ,6/6/2016 10:16:25 PM , 956 ,6/6/2016 10:20:25 PM , 1148 ,6/6/2016 10:22:25 PM , 265 ,6/6/2016 10:24:25 PM , 897 ,6/6/2016 10:26:25 PM , 617 ,
 28 ,6/6/2016 10:30:25 PM , 1012 ,6/6/2016 10:32:25 PM , 433 ,6/6/2016 10:34:25 PM , 376 ,6/6/2016 10:36:25 PM , 692 ,6/6/2016 10:40:25 PM , 896 ,6/6/2016 10:42:25 PM , 156 ,6/6/2016 10:44:25 PM , 928 ,6/6/2016 10:46:25 PM , 511 ,
 29 ,6/6/2016 10:50:25 PM , 784 ,6/6/2016 10:52:25 PM , 283 ,6/6/2016 10:54:25 PM , 506 ,6/6/2016 10:56:25 PM , 688 ,6/6/2016 11:00:25 PM , 963 ,6/6/2016 11:02:25 PM , 404 ,6/6/2016 11:04:25 PM , 1438 ,6/6/2016 11:06:25 PM , 752 ,
 30 ,6/6/2016 11:10:25 PM , 1032 ,6/6/2016 11:12:25 PM , 398 ,6/6/2016 11:14:25 PM , 281 ,6/6/2016 11:16:25 PM , 732 ,6/6/2016 11:20:25 PM , 825 ,6/6/2016 11:22:25 PM , 153 ,6/6/2016 11:24:25 PM , 1563 ,6/6/2016 11:26:25 PM , 568 ,
 31 ,6/6/2016 11:30:25 PM , 1023 ,6/6/2016 11:32:25 PM , 58 ,6/6/2016 11:34:25 PM , 102 ,6/6/2016 11:36:25 PM , 600 ,6/6/2016 11:40:25 PM , 588 ,6/6/2016 11:42:25 PM , 195 ,6/6/2016 11:44:25 PM , 1464 ,6/6/2016 11:46:25 PM , 788 ,
 32 ,6/6/2016 11:50:25 PM , 1202 ,6/6/2016 11:52:25 PM , 119 ,6/6/2016 11:54:25 PM , 52 ,6/6/2016 11:56:25 PM , 677 ,6/7/2016 12:00:25 AM , 560 ,6/7/2016 12:02:25 AM , 279 ,6/7/2016 12:04:25 AM , 1053 ,6/7/2016 12:06:25 AM , 321 ,
 33 ,6/7/2016 12:10:25 AM , 869 ,6/7/2016 12:12:25 AM , 319 ,6/7/2016 12:14:25 AM , 28 ,6/7/2016 12:16:25 AM , 954 ,6/7/2016 12:20:25 AM , 435 ,6/7/2016 12:22:25 AM , 35 ,6/7/2016 12:24:25 AM , 1405 ,6/7/2016 12:26:25 AM , 453 ,
 34 ,6/7/2016 12:30:25 AM , 908 ,6/7/2016 12:32:25 AM , 41 ,6/7/2016 12:34:25 AM , 412 ,6/7/2016 12:36:25 AM , 170 ,6/7/2016 12:40:25 AM , 827 ,6/7/2016 12:42:25 AM , 43 ,6/7/2016 12:44:25 AM , 635 ,6/7/2016 12:46:25 AM , 359 ,
 35 ,6/7/2016 12:50:25 AM , 1003 ,6/7/2016 12:52:25 AM , 154 ,6/7/2016 12:54:25 AM , 377 ,6/7/2016 12:56:25 AM , 526 ,6/7/2016 1:00:25 AM , 578 ,6/7/2016 1:02:25 AM , 368 ,6/7/2016 1:04:25 AM , 1186 ,6/7/2016 1:06:25 AM , 319 ,
 36 ,6/7/2016 1:10:25 AM , 1076 ,6/7/2016 1:12:25 AM , 428 ,6/7/2016 1:14:25 AM , 329 ,6/7/2016 1:16:25 AM , 494 ,6/7/2016 1:20:25 AM , 301 ,6/7/2016 1:22:25 AM , 233 ,6/7/2016 1:24:25 AM , 819 ,6/7/2016 1:26:25 AM , 387 ,
 37 ,6/7/2016 1:30:25 AM , 767 ,6/7/2016 1:32:25 AM , 84 ,6/7/2016 1:34:25 AM , 50 ,6/7/2016 1:36:25 AM , 63 ,6/7/2016 1:40:25 AM , 801 ,6/7/2016 1:42:25 AM , 245 ,6/7/2016 1:44:25 AM , 637 ,6/7/2016 1:46:25 AM , 731 ,
 38 ,6/7/2016 1:50:25 AM , 68 ,6/7/2016 1:52:25 AM , 24 ,6/7/2016 1:54:25 AM , 419 ,6/7/2016 1:56:25 AM , 271 ,6/7/2016 2:00:25 AM , 736 ,6/7/2016 2:02:25 AM , 466 ,6/7/2016 2:04:25 AM , 1138 ,6/7/2016 2:06:25 AM , 329 ,
 39 ,6/7/2016 2:10:25 AM , 516 ,6/7/2016 2:12:25 AM , 592 ,6/7/2016 2:14:25 AM , 837 ,6/7/2016 2:16:25 AM , 306 ,6/7/2016 2:20:25 AM , 948 ,6/7/2016 2:22:25 AM , 400 ,6/7/2016 2:24:25 AM , 752 ,6/7/2016 2:26:25 AM , 256 ,
 40 ,6/7/2016 2:30:25 AM , 991 ,6/7/2016 2:32:25 AM , 248 ,6/7/2016 2:34:25 AM , 575 ,6/7/2016 2:36:25 AM , 571 ,6/7/2016 2:40:25 AM , 373 ,6/7/2016 2:42:25 AM , 125 ,6/7/2016 2:44:25 AM , 87 ,6/7/2016 2:46:25 AM , 233 ,
 41 ,6/7/2016 2:50:25 AM , 855 ,6/7/2016 2:52:25 AM , 182 ,6/7/2016 2:54:25 AM , 359 ,6/7/2016 2:56:25 AM , 347 ,6/7/2016 3:00:25 AM , 185 ,6/7/2016 3:02:25 AM , 19 ,6/7/2016 3:04:25 AM , 89 ,6/7/2016 3:06:25 AM , 159 ,
 42 ,6/7/2016 3:10:25 AM , 682 ,6/7/2016 3:12:25 AM , 15 ,6/7/2016 3:14:25 AM , 156 ,6/7/2016 3:16:25 AM , 629 ,6/7/2016 3:20:25 AM , 534 ,6/7/2016 3:22:25 AM , 137 ,6/7/2016 3:24:25 AM , 539 ,6/7/2016 3:26:25 AM , 114 ,
 43 ,6/7/2016 3:30:25 AM , 436 ,6/7/2016 3:32:25 AM , 51 ,6/7/2016 3:34:25 AM , 465 ,6/7/2016 3:36:25 AM , 220 ,6/7/2016 3:40:25 AM , 564 ,6/7/2016 3:42:25 AM , 47 ,6/7/2016 3:44:25 AM , 269 ,6/7/2016 3:46:25 AM , 96 ,
 44 ,6/7/2016 3:50:25 AM , 687 ,6/7/2016 3:52:25 AM , 457 ,6/7/2016 3:54:25 AM , 940 ,6/7/2016 3:56:25 AM , 138 ,6/7/2016 4:00:25 AM , 5 ,6/7/2016 4:02:25 AM , 10 ,6/7/2016 4:04:25 AM , 44 ,6/7/2016 4:06:25 AM , 57 ,
 45 ,6/7/2016 4:10:25 AM , 497 ,6/7/2016 4:12:25 AM , 441 ,6/7/2016 4:14:25 AM , 720 ,6/7/2016 4:16:25 AM , 249 ,6/7/2016 4:20:25 AM , 361 ,6/7/2016 4:22:25 AM , 45 ,6/7/2016 4:24:25 AM , 45 ,6/7/2016 4:26:25 AM , 449 ,
 46 ,6/7/2016 4:30:25 AM , 288 ,6/7/2016 4:32:25 AM , 202 ,6/7/2016 4:34:25 AM , 656 ,6/7/2016 4:36:25 AM , 148 ,6/7/2016 4:40:25 AM , 969 ,6/7/2016 4:42:25 AM , 30 ,6/7/2016 4:44:25 AM , 680 ,6/7/2016 4:46:25 AM , 382 ,
 47 ,6/7/2016 4:50:25 AM , 1107 ,6/7/2016 4:52:25 AM , 55 ,6/7/2016 4:54:25 AM , 334 ,6/7/2016 4:56:25 AM , 309 ,6/7/2016 5:00:25 AM , 857 ,6/7/2016 5:02:25 AM , 63 ,6/7/2016 5:04:25 AM , 224 ,6/7/2016 5:06:25 AM , 886 ,
 48 ,6/7/2016 5:10:25 AM , 494 ,6/7/2016 5:12:25 AM , 266 ,6/7/2016 5:14:25 AM , 374 ,6/7/2016 5:16:25 AM , 798 ,6/7/2016 5:20:25 AM , 510 ,6/7/2016 5:22:25 AM , 37 ,6/7/2016 5:24:25 AM , 590 ,6/7/2016 5:26:25 AM , 720 ,
