Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:49 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,ZTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 25 ,6/6/2016 9:30:25 PM , 1381 ,6/6/2016 9:32:25 PM , 55 ,6/6/2016 9:34:25 PM , 160 ,6/6/2016 9:36:25 PM , 738 ,6/6/2016 9:40:25 PM , 530 ,6/6/2016 9:42:25 PM , 310 ,6/6/2016 9:44:25 PM , 347 ,6/6/2016 9:46:25 PM , 1006 ,
 26 ,6/6/2016 9:50:25 PM , 634 ,6/6/2016 9:52:25 PM , 494 ,6/6/2016 9:54:25 PM , 104 ,6/6/2016 9:56:25 PM , 478 ,6/6/2016 10:00:25 PM , 44 ,6/6/2016 10:02:25 PM , 191 ,6/6/2016 10:04:25 PM , 458 ,6/6/2016 10:06:25 PM , 1136 ,
 27 ,6/6/2016 10:10:25 PM , 1542 ,6/6/2016 10:12:25 PM , 1698 ,6/6/2016 10:14:25 PM , 174 ,6/6/2016 10:16:25 PM , 1000 ,6/6/2016 10:20:25 PM , 812 ,6/6/2016 10:22:25 PM , 225 ,6/6/2016 10:24:25 PM , 187 ,6/6/2016 10:26:25 PM , 861 ,
 28 ,6/6/2016 10:30:25 PM , 842 ,6/6/2016 10:32:25 PM , 823 ,6/6/2016 10:34:25 PM , 101 ,6/6/2016 10:36:25 PM , 569 ,6/6/2016 10:40:25 PM , 439 ,6/6/2016 10:42:25 PM , 43 ,6/6/2016 10:44:25 PM , 330 ,6/6/2016 10:46:25 PM , 514 ,
 29 ,6/6/2016 10:50:25 PM , 629 ,6/6/2016 10:52:25 PM , 305 ,6/6/2016 10:54:25 PM , 253 ,6/6/2016 10:56:25 PM , 660 ,6/6/2016 11:00:25 PM , 533 ,6/6/2016 11:02:25 PM , 411 ,6/6/2016 11:04:25 PM , 356 ,6/6/2016 11:06:25 PM , 1062 ,
 30 ,6/6/2016 11:10:25 PM , 1022 ,6/6/2016 11:12:25 PM , 1040 ,6/6/2016 11:14:25 PM , 78 ,6/6/2016 11:16:25 PM , 537 ,6/6/2016 11:20:25 PM , 356 ,6/6/2016 11:22:25 PM , 62 ,6/6/2016 11:24:25 PM , 452 ,6/6/2016 11:26:25 PM , 387 ,
 31 ,6/6/2016 11:30:25 PM , 1166 ,6/6/2016 11:32:25 PM , 41 ,6/6/2016 11:34:25 PM , 3 ,6/6/2016 11:36:25 PM , 396 ,6/6/2016 11:40:25 PM , 600 ,6/6/2016 11:42:25 PM , 44 ,6/6/2016 11:44:25 PM , 266 ,6/6/2016 11:46:25 PM , 936 ,
 32 ,6/6/2016 11:50:25 PM , 1359 ,6/6/2016 11:52:25 PM , 289 ,6/6/2016 11:54:25 PM , 0 ,6/6/2016 11:56:25 PM , 626 ,6/7/2016 12:00:25 AM , 320 ,6/7/2016 12:02:25 AM , 381 ,6/7/2016 12:04:25 AM , 252 ,6/7/2016 12:06:25 AM , 80 ,
 33 ,6/7/2016 12:10:25 AM , 973 ,6/7/2016 12:12:25 AM , 405 ,6/7/2016 12:14:25 AM , 0 ,6/7/2016 12:16:25 AM , 990 ,6/7/2016 12:20:25 AM , 228 ,6/7/2016 12:22:25 AM , 0 ,6/7/2016 12:24:25 AM , 313 ,6/7/2016 12:26:25 AM , 424 ,
 34 ,6/7/2016 12:30:25 AM , 649 ,6/7/2016 12:32:25 AM , 3 ,6/7/2016 12:34:25 AM , 153 ,6/7/2016 12:36:25 AM , 155 ,6/7/2016 12:40:25 AM , 267 ,6/7/2016 12:42:25 AM , 56 ,6/7/2016 12:44:25 AM , 42 ,6/7/2016 12:46:25 AM , 234 ,
 35 ,6/7/2016 12:50:25 AM , 687 ,6/7/2016 12:52:25 AM , 797 ,6/7/2016 12:54:25 AM , 252 ,6/7/2016 12:56:25 AM , 377 ,6/7/2016 1:00:25 AM , 234 ,6/7/2016 1:02:25 AM , 398 ,6/7/2016 1:04:25 AM , 365 ,6/7/2016 1:06:25 AM , 276 ,
 36 ,6/7/2016 1:10:25 AM , 922 ,6/7/2016 1:12:25 AM , 848 ,6/7/2016 1:14:25 AM , 36 ,6/7/2016 1:16:25 AM , 324 ,6/7/2016 1:20:25 AM , 114 ,6/7/2016 1:22:25 AM , 130 ,6/7/2016 1:24:25 AM , 114 ,6/7/2016 1:26:25 AM , 256 ,
 37 ,6/7/2016 1:30:25 AM , 967 ,6/7/2016 1:32:25 AM , 14 ,6/7/2016 1:34:25 AM , 6 ,6/7/2016 1:36:25 AM , 24 ,6/7/2016 1:40:25 AM , 504 ,6/7/2016 1:42:25 AM , 439 ,6/7/2016 1:44:25 AM , 140 ,6/7/2016 1:46:25 AM , 732 ,
 38 ,6/7/2016 1:50:25 AM , 42 ,6/7/2016 1:52:25 AM , 22 ,6/7/2016 1:54:25 AM , 231 ,6/7/2016 1:56:25 AM , 662 ,6/7/2016 2:00:25 AM , 486 ,6/7/2016 2:02:25 AM , 729 ,6/7/2016 2:04:25 AM , 211 ,6/7/2016 2:06:25 AM , 196 ,
 39 ,6/7/2016 2:10:25 AM , 665 ,6/7/2016 2:12:25 AM , 1865 ,6/7/2016 2:14:25 AM , 847 ,6/7/2016 2:16:25 AM , 1020 ,6/7/2016 2:20:25 AM , 486 ,6/7/2016 2:22:25 AM , 626 ,6/7/2016 2:24:25 AM , 31 ,6/7/2016 2:26:25 AM , 92 ,
 40 ,6/7/2016 2:30:25 AM , 903 ,6/7/2016 2:32:25 AM , 211 ,6/7/2016 2:34:25 AM , 884 ,6/7/2016 2:36:25 AM , 656 ,6/7/2016 2:40:25 AM , 100 ,6/7/2016 2:42:25 AM , 52 ,6/7/2016 2:44:25 AM , 0 ,6/7/2016 2:46:25 AM , 170 ,
 41 ,6/7/2016 2:50:25 AM , 886 ,6/7/2016 2:52:25 AM , 107 ,6/7/2016 2:54:25 AM , 288 ,6/7/2016 2:56:25 AM , 261 ,6/7/2016 3:00:25 AM , 49 ,6/7/2016 3:02:25 AM , 0 ,6/7/2016 3:04:25 AM , 8 ,6/7/2016 3:06:25 AM , 113 ,
 42 ,6/7/2016 3:10:25 AM , 749 ,6/7/2016 3:12:25 AM , 2 ,6/7/2016 3:14:25 AM , 66 ,6/7/2016 3:16:25 AM , 868 ,6/7/2016 3:20:25 AM , 320 ,6/7/2016 3:22:25 AM , 200 ,6/7/2016 3:24:25 AM , 47 ,6/7/2016 3:26:25 AM , 34 ,
 43 ,6/7/2016 3:30:25 AM , 439 ,6/7/2016 3:32:25 AM , 62 ,6/7/2016 3:34:25 AM , 445 ,6/7/2016 3:36:25 AM , 298 ,6/7/2016 3:40:25 AM , 357 ,6/7/2016 3:42:25 AM , 11 ,6/7/2016 3:44:25 AM , 0 ,6/7/2016 3:46:25 AM , 45 ,
