Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:47 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,XTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 44 ,6/7/2016 3:50:25 AM , 2121 ,6/7/2016 3:52:25 AM , 1870 ,6/7/2016 3:54:25 AM , 2311 ,6/7/2016 3:56:25 AM , 526 ,6/7/2016 4:00:25 AM , 141 ,6/7/2016 4:02:25 AM , 123 ,6/7/2016 4:04:25 AM , 248 ,6/7/2016 4:06:25 AM , 224 ,
 45 ,6/7/2016 4:10:25 AM , 1707 ,6/7/2016 4:12:25 AM , 1682 ,6/7/2016 4:14:25 AM , 1490 ,6/7/2016 4:16:25 AM , 778 ,6/7/2016 4:20:25 AM , 895 ,6/7/2016 4:22:25 AM , 173 ,6/7/2016 4:24:25 AM , 70 ,6/7/2016 4:26:25 AM , 1324 ,
 46 ,6/7/2016 4:30:25 AM , 1090 ,6/7/2016 4:32:25 AM , 1019 ,6/7/2016 4:34:25 AM , 1472 ,6/7/2016 4:36:25 AM , 410 ,6/7/2016 4:40:25 AM , 2566 ,6/7/2016 4:42:25 AM , 169 ,6/7/2016 4:44:25 AM , 996 ,6/7/2016 4:46:25 AM , 1060 ,
 47 ,6/7/2016 4:50:25 AM , 2376 ,6/7/2016 4:52:25 AM , 187 ,6/7/2016 4:54:25 AM , 925 ,6/7/2016 4:56:25 AM , 1059 ,6/7/2016 5:00:25 AM , 2242 ,6/7/2016 5:02:25 AM , 468 ,6/7/2016 5:04:25 AM , 229 ,6/7/2016 5:06:25 AM , 2361 ,
 48 ,6/7/2016 5:10:25 AM , 1466 ,6/7/2016 5:12:25 AM , 1032 ,6/7/2016 5:14:25 AM , 1178 ,6/7/2016 5:16:25 AM , 2254 ,6/7/2016 5:20:25 AM , 1556 ,6/7/2016 5:22:25 AM , 115 ,6/7/2016 5:24:25 AM , 1192 ,6/7/2016 5:26:25 AM , 1763 ,
 49 ,6/7/2016 5:30:25 AM , 2653 ,6/7/2016 5:32:25 AM , 1750 ,6/7/2016 5:34:25 AM , 1371 ,6/7/2016 5:36:25 AM , 1707 ,6/7/2016 5:40:25 AM , 2677 ,6/7/2016 5:42:25 AM , 764 ,6/7/2016 5:44:25 AM , 1390 ,6/7/2016 5:46:25 AM , 1276 ,
 50 ,6/7/2016 5:50:25 AM , 1635 ,6/7/2016 5:52:25 AM , 2194 ,6/7/2016 5:54:25 AM , 958 ,6/7/2016 5:56:25 AM , 1423 ,6/7/2016 6:00:25 AM , 2517 ,6/7/2016 6:02:25 AM , 1724 ,6/7/2016 6:04:25 AM , 786 ,6/7/2016 6:06:25 AM , 1561 ,
 51 ,6/7/2016 6:10:25 AM , 1706 ,6/7/2016 6:12:25 AM , 2600 ,6/7/2016 6:14:25 AM , 1656 ,6/7/2016 6:16:25 AM , 1103 ,6/7/2016 6:20:25 AM , 1464 ,6/7/2016 6:22:25 AM , 1549 ,6/7/2016 6:24:25 AM , 1035 ,6/7/2016 6:26:25 AM , 1256 ,
 52 ,6/7/2016 6:30:25 AM , 493 ,6/7/2016 6:32:25 AM , 1140 ,6/7/2016 6:34:25 AM , 546 ,6/7/2016 6:36:25 AM , 775 ,6/7/2016 6:40:25 AM , 911 ,6/7/2016 6:42:25 AM , 1238 ,6/7/2016 6:44:25 AM , 1597 ,6/7/2016 6:46:25 AM , 617 ,
 53 ,6/7/2016 6:50:25 AM , 1725 ,6/7/2016 6:52:25 AM , 1126 ,6/7/2016 6:54:25 AM , 87 ,6/7/2016 6:56:25 AM , 1118 ,6/7/2016 7:00:25 AM , 90 ,6/7/2016 7:02:25 AM , 290 ,6/7/2016 7:04:25 AM , 521 ,6/7/2016 7:06:25 AM , 669 ,
