Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,YTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 28 ,6/6/2016 10:30:25 PM , 1733 ,6/6/2016 10:32:25 PM , 848 ,6/6/2016 10:34:25 PM , 755 ,6/6/2016 10:36:25 PM , 1221 ,6/6/2016 10:40:25 PM , 1494 ,6/6/2016 10:42:25 PM , 396 ,6/6/2016 10:44:25 PM , 1087 ,6/6/2016 10:46:25 PM , 1154 ,
 29 ,6/6/2016 10:50:25 PM , 1421 ,6/6/2016 10:52:25 PM , 798 ,6/6/2016 10:54:25 PM , 1122 ,6/6/2016 10:56:25 PM , 1164 ,6/6/2016 11:00:25 PM , 1632 ,6/6/2016 11:02:25 PM , 731 ,6/6/2016 11:04:25 PM , 1672 ,6/6/2016 11:06:25 PM , 1352 ,
 30 ,6/6/2016 11:10:25 PM , 1661 ,6/6/2016 11:12:25 PM , 906 ,6/6/2016 11:14:25 PM , 627 ,6/6/2016 11:16:25 PM , 1286 ,6/6/2016 11:20:25 PM , 1392 ,6/6/2016 11:22:25 PM , 342 ,6/6/2016 11:24:25 PM , 1790 ,6/6/2016 11:26:25 PM , 1336 ,
 31 ,6/6/2016 11:30:25 PM , 1592 ,6/6/2016 11:32:25 PM , 141 ,6/6/2016 11:34:25 PM , 263 ,6/6/2016 11:36:25 PM , 1040 ,6/6/2016 11:40:25 PM , 1082 ,6/6/2016 11:42:25 PM , 378 ,6/6/2016 11:44:25 PM , 1753 ,6/6/2016 11:46:25 PM , 1376 ,
 32 ,6/6/2016 11:50:25 PM , 1867 ,6/6/2016 11:52:25 PM , 266 ,6/6/2016 11:54:25 PM , 130 ,6/6/2016 11:56:25 PM , 1086 ,6/7/2016 12:00:25 AM , 1011 ,6/7/2016 12:02:25 AM , 727 ,6/7/2016 12:04:25 AM , 1234 ,6/7/2016 12:06:25 AM , 997 ,
 33 ,6/7/2016 12:10:25 AM , 1498 ,6/7/2016 12:12:25 AM , 689 ,6/7/2016 12:14:25 AM , 77 ,6/7/2016 12:16:25 AM , 1572 ,6/7/2016 12:20:25 AM , 791 ,6/7/2016 12:22:25 AM , 203 ,6/7/2016 12:24:25 AM , 1598 ,6/7/2016 12:26:25 AM , 977 ,
 34 ,6/7/2016 12:30:25 AM , 1645 ,6/7/2016 12:32:25 AM , 152 ,6/7/2016 12:34:25 AM , 852 ,6/7/2016 12:36:25 AM , 546 ,6/7/2016 12:40:25 AM , 1455 ,6/7/2016 12:42:25 AM , 115 ,6/7/2016 12:44:25 AM , 769 ,6/7/2016 12:46:25 AM , 928 ,
 35 ,6/7/2016 12:50:25 AM , 1663 ,6/7/2016 12:52:25 AM , 317 ,6/7/2016 12:54:25 AM , 885 ,6/7/2016 12:56:25 AM , 876 ,6/7/2016 1:00:25 AM , 1090 ,6/7/2016 1:02:25 AM , 685 ,6/7/2016 1:04:25 AM , 1390 ,6/7/2016 1:06:25 AM , 731 ,
 36 ,6/7/2016 1:10:25 AM , 1714 ,6/7/2016 1:12:25 AM , 813 ,6/7/2016 1:14:25 AM , 805 ,6/7/2016 1:16:25 AM , 853 ,6/7/2016 1:20:25 AM , 753 ,6/7/2016 1:22:25 AM , 468 ,6/7/2016 1:24:25 AM , 997 ,6/7/2016 1:26:25 AM , 840 ,
 37 ,6/7/2016 1:30:25 AM , 1291 ,6/7/2016 1:32:25 AM , 275 ,6/7/2016 1:34:25 AM , 170 ,6/7/2016 1:36:25 AM , 118 ,6/7/2016 1:40:25 AM , 1261 ,6/7/2016 1:42:25 AM , 507 ,6/7/2016 1:44:25 AM , 735 ,6/7/2016 1:46:25 AM , 1337 ,
 38 ,6/7/2016 1:50:25 AM , 305 ,6/7/2016 1:52:25 AM , 65 ,6/7/2016 1:54:25 AM , 1025 ,6/7/2016 1:56:25 AM , 532 ,6/7/2016 2:00:25 AM , 1212 ,6/7/2016 2:02:25 AM , 846 ,6/7/2016 2:04:25 AM , 1323 ,6/7/2016 2:06:25 AM , 670 ,
 39 ,6/7/2016 2:10:25 AM , 858 ,6/7/2016 2:12:25 AM , 1007 ,6/7/2016 2:14:25 AM , 1504 ,6/7/2016 2:16:25 AM , 621 ,6/7/2016 2:20:25 AM , 1515 ,6/7/2016 2:22:25 AM , 723 ,6/7/2016 2:24:25 AM , 939 ,6/7/2016 2:26:25 AM , 877 ,
 40 ,6/7/2016 2:30:25 AM , 1573 ,6/7/2016 2:32:25 AM , 690 ,6/7/2016 2:34:25 AM , 1104 ,6/7/2016 2:36:25 AM , 903 ,6/7/2016 2:40:25 AM , 911 ,6/7/2016 2:42:25 AM , 400 ,6/7/2016 2:44:25 AM , 98 ,6/7/2016 2:46:25 AM , 526 ,
 41 ,6/7/2016 2:50:25 AM , 1418 ,6/7/2016 2:52:25 AM , 579 ,6/7/2016 2:54:25 AM , 1016 ,6/7/2016 2:56:25 AM , 797 ,6/7/2016 3:00:25 AM , 533 ,6/7/2016 3:02:25 AM , 61 ,6/7/2016 3:04:25 AM , 104 ,6/7/2016 3:06:25 AM , 440 ,
 42 ,6/7/2016 3:10:25 AM , 1186 ,6/7/2016 3:12:25 AM , 27 ,6/7/2016 3:14:25 AM , 316 ,6/7/2016 3:16:25 AM , 1019 ,6/7/2016 3:20:25 AM , 867 ,6/7/2016 3:22:25 AM , 305 ,6/7/2016 3:24:25 AM , 670 ,6/7/2016 3:26:25 AM , 261 ,
 43 ,6/7/2016 3:30:25 AM , 763 ,6/7/2016 3:32:25 AM , 105 ,6/7/2016 3:34:25 AM , 785 ,6/7/2016 3:36:25 AM , 387 ,6/7/2016 3:40:25 AM , 906 ,6/7/2016 3:42:25 AM , 184 ,6/7/2016 3:44:25 AM , 504 ,6/7/2016 3:46:25 AM , 203 ,
 44 ,6/7/2016 3:50:25 AM , 1189 ,6/7/2016 3:52:25 AM , 908 ,6/7/2016 3:54:25 AM , 1584 ,6/7/2016 3:56:25 AM , 252 ,6/7/2016 4:00:25 AM , 41 ,6/7/2016 4:02:25 AM , 30 ,6/7/2016 4:04:25 AM , 50 ,6/7/2016 4:06:25 AM , 136 ,
 45 ,6/7/2016 4:10:25 AM , 856 ,6/7/2016 4:12:25 AM , 915 ,6/7/2016 4:14:25 AM , 1327 ,6/7/2016 4:16:25 AM , 454 ,6/7/2016 4:20:25 AM , 623 ,6/7/2016 4:22:25 AM , 124 ,6/7/2016 4:24:25 AM , 60 ,6/7/2016 4:26:25 AM , 981 ,
 46 ,6/7/2016 4:30:25 AM , 573 ,6/7/2016 4:32:25 AM , 553 ,6/7/2016 4:34:25 AM , 1250 ,6/7/2016 4:36:25 AM , 267 ,6/7/2016 4:40:25 AM , 1579 ,6/7/2016 4:42:25 AM , 117 ,6/7/2016 4:44:25 AM , 817 ,6/7/2016 4:46:25 AM , 919 ,
 47 ,6/7/2016 4:50:25 AM , 1759 ,6/7/2016 4:52:25 AM , 149 ,6/7/2016 4:54:25 AM , 817 ,6/7/2016 4:56:25 AM , 539 ,6/7/2016 5:00:25 AM , 1466 ,6/7/2016 5:02:25 AM , 232 ,6/7/2016 5:04:25 AM , 285 ,6/7/2016 5:06:25 AM , 1670 ,
 48 ,6/7/2016 5:10:25 AM , 818 ,6/7/2016 5:12:25 AM , 498 ,6/7/2016 5:14:25 AM , 668 ,6/7/2016 5:16:25 AM , 1365 ,6/7/2016 5:20:25 AM , 1079 ,6/7/2016 5:22:25 AM , 108 ,6/7/2016 5:24:25 AM , 683 ,6/7/2016 5:26:25 AM , 1379 ,
 49 ,6/7/2016 5:30:25 AM , 1815 ,6/7/2016 5:32:25 AM , 870 ,6/7/2016 5:34:25 AM , 985 ,6/7/2016 5:36:25 AM , 1276 ,6/7/2016 5:40:25 AM , 1674 ,6/7/2016 5:42:25 AM , 361 ,6/7/2016 5:44:25 AM , 1019 ,6/7/2016 5:46:25 AM , 968 ,
 50 ,6/7/2016 5:50:25 AM , 1134 ,6/7/2016 5:52:25 AM , 995 ,6/7/2016 5:54:25 AM , 913 ,6/7/2016 5:56:25 AM , 992 ,6/7/2016 6:00:25 AM , 1424 ,6/7/2016 6:02:25 AM , 821 ,6/7/2016 6:04:25 AM , 561 ,6/7/2016 6:06:25 AM , 1223 ,
 51 ,6/7/2016 6:10:25 AM , 1067 ,6/7/2016 6:12:25 AM , 1133 ,6/7/2016 6:14:25 AM , 1132 ,6/7/2016 6:16:25 AM , 616 ,6/7/2016 6:20:25 AM , 871 ,6/7/2016 6:22:25 AM , 770 ,6/7/2016 6:24:25 AM , 672 ,6/7/2016 6:26:25 AM , 1168 ,
 52 ,6/7/2016 6:30:25 AM , 203 ,6/7/2016 6:32:25 AM , 797 ,6/7/2016 6:34:25 AM , 556 ,6/7/2016 6:36:25 AM , 472 ,6/7/2016 6:40:25 AM , 587 ,6/7/2016 6:42:25 AM , 644 ,6/7/2016 6:44:25 AM , 1145 ,6/7/2016 6:46:25 AM , 536 ,
 53 ,6/7/2016 6:50:25 AM , 1186 ,6/7/2016 6:52:25 AM , 640 ,6/7/2016 6:54:25 AM , 38 ,6/7/2016 6:56:25 AM , 756 ,6/7/2016 7:00:25 AM , 74 ,6/7/2016 7:02:25 AM , 186 ,6/7/2016 7:04:25 AM , 383 ,6/7/2016 7:06:25 AM , 535 ,
 54 ,6/7/2016 7:10:25 AM , 525 ,6/7/2016 7:12:25 AM , 70 ,6/7/2016 7:14:25 AM , 296 ,6/7/2016 7:16:25 AM , 170 ,6/7/2016 7:20:25 AM , 1302 ,6/7/2016 7:22:25 AM , 267 ,6/7/2016 7:24:25 AM , 13 ,6/7/2016 7:26:25 AM , 908 ,
 55 ,6/7/2016 7:30:25 AM , 13 ,6/7/2016 7:32:25 AM , 101 ,6/7/2016 7:34:25 AM , 1259 ,6/7/2016 7:36:25 AM , 350 ,6/7/2016 7:40:25 AM , 727 ,6/7/2016 7:42:25 AM , 455 ,6/7/2016 7:44:25 AM , 443 ,6/7/2016 7:46:25 AM , 949 ,
 56 ,6/7/2016 7:50:25 AM , 593 ,6/7/2016 7:52:25 AM , 976 ,6/7/2016 7:54:25 AM , 691 ,6/7/2016 7:56:25 AM , 11 ,6/7/2016 8:00:25 AM , 30 ,6/7/2016 8:02:25 AM , 139 ,6/7/2016 8:04:25 AM , 18 ,6/7/2016 8:06:25 AM , 234 ,
 57 ,6/7/2016 8:10:25 AM , 618 ,6/7/2016 8:12:25 AM , 595 ,6/7/2016 8:14:25 AM , 80 ,6/7/2016 8:16:25 AM , 514 ,6/7/2016 8:20:25 AM , 376 ,6/7/2016 8:22:25 AM , 605 ,6/7/2016 8:24:25 AM , 0 ,6/7/2016 8:26:25 AM , 123 ,
 58 ,6/7/2016 8:30:25 AM , 57 ,6/7/2016 8:32:25 AM , 54 ,6/7/2016 8:34:25 AM , 696 ,6/7/2016 8:36:25 AM , 1070 ,6/7/2016 8:40:25 AM , 784 ,6/7/2016 8:42:25 AM , 553 ,6/7/2016 8:44:25 AM , 273 ,6/7/2016 8:46:25 AM , 796 ,
 59 ,6/7/2016 8:50:25 AM , 443 ,6/7/2016 8:52:25 AM , 367 ,6/7/2016 8:54:25 AM , 1202 ,6/7/2016 8:56:25 AM , 817 ,6/7/2016 9:00:25 AM , 824 ,6/7/2016 9:02:25 AM , 758 ,6/7/2016 9:04:25 AM , 107 ,6/7/2016 9:06:25 AM , 74 ,
 60 ,6/7/2016 9:10:25 AM , 444 ,6/7/2016 9:12:25 AM , 843 ,6/7/2016 9:14:25 AM , 314 ,6/7/2016 9:16:25 AM , 48 ,6/7/2016 9:20:25 AM , 54 ,6/7/2016 9:22:25 AM , 35 ,6/7/2016 9:24:25 AM , 53 ,6/7/2016 9:26:25 AM , 596 ,
 61 ,6/7/2016 9:30:25 AM , 204 ,6/7/2016 9:32:25 AM , 68 ,6/7/2016 9:34:25 AM , 517 ,6/7/2016 9:36:25 AM , 313 ,6/7/2016 9:40:25 AM , 72 ,6/7/2016 9:42:25 AM , 237 ,6/7/2016 9:44:25 AM , 344 ,6/7/2016 9:46:25 AM , 297 ,
 62 ,6/7/2016 9:50:25 AM , 24 ,6/7/2016 9:52:25 AM , 19 ,6/7/2016 9:54:25 AM , 722 ,6/7/2016 9:56:25 AM , 754 ,6/7/2016 10:00:25 AM , 52 ,6/7/2016 10:02:25 AM , 433 ,6/7/2016 10:04:25 AM , 430 ,6/7/2016 10:06:25 AM , 25 ,
 63 ,6/7/2016 10:10:25 AM , 516 ,6/7/2016 10:12:25 AM , 398 ,6/7/2016 10:14:25 AM , 189 ,6/7/2016 10:16:25 AM , 15 ,6/7/2016 10:20:25 AM , 99 ,6/7/2016 10:22:25 AM , 97 ,6/7/2016 10:24:25 AM , 82 ,6/7/2016 10:26:25 AM , 185 ,
 64 ,6/7/2016 10:30:25 AM , 164 ,6/7/2016 10:32:25 AM , 634 ,6/7/2016 10:34:25 AM , 288 ,6/7/2016 10:36:25 AM , 609 ,6/7/2016 10:40:25 AM , 391 ,6/7/2016 10:42:25 AM , 13 ,6/7/2016 10:44:25 AM , 20 ,6/7/2016 10:46:25 AM , 107 ,
 65 ,6/7/2016 10:50:25 AM , 576 ,6/7/2016 10:52:25 AM , 100 ,6/7/2016 10:54:25 AM , 1052 ,6/7/2016 10:56:25 AM , 22 ,6/7/2016 11:00:25 AM , 540 ,6/7/2016 11:02:25 AM , 275 ,6/7/2016 11:04:25 AM , 163 ,6/7/2016 11:06:25 AM , 84 ,
 66 ,6/7/2016 11:10:25 AM , 15 ,6/7/2016 11:12:25 AM , 13 ,6/7/2016 11:14:25 AM , 50 ,6/7/2016 11:16:25 AM , 703 ,6/7/2016 11:20:25 AM , 339 ,6/7/2016 11:22:25 AM , 45 ,6/7/2016 11:24:25 AM , 399 ,6/7/2016 11:26:25 AM , 661 ,
 67 ,6/7/2016 11:30:25 AM , 371 ,6/7/2016 11:32:25 AM , 643 ,6/7/2016 11:34:25 AM , 596 ,6/7/2016 11:36:25 AM , 310 ,6/7/2016 11:40:25 AM , 4 ,6/7/2016 11:42:25 AM , 10 ,6/7/2016 11:44:25 AM , 42 ,6/7/2016 11:46:25 AM , 30 ,
