Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:43 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,VCO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 23 ,6/6/2016 8:50:25 PM , 3418.538 ,6/6/2016 8:52:25 PM , 4593.423 ,6/6/2016 8:54:25 PM , 2864.296 ,6/6/2016 8:56:25 PM , 3546.042 ,6/6/2016 9:00:25 PM , 3588.477 ,6/6/2016 9:02:25 PM , 3597.929 ,6/6/2016 9:04:25 PM , 4114.348 ,6/6/2016 9:06:25 PM , 3622.865 ,
 24 ,6/6/2016 9:10:25 PM , 3529.405 ,6/6/2016 9:12:25 PM , 5193.201 ,6/6/2016 9:14:25 PM , 3292.519 ,6/6/2016 9:16:25 PM , 4230.838 ,6/6/2016 9:20:25 PM , 3354.002 ,6/6/2016 9:22:25 PM , 4151.191 ,6/6/2016 9:24:25 PM , 4045.287 ,6/6/2016 9:26:25 PM , 3668.006 ,
 25 ,6/6/2016 9:30:25 PM , 3344.971 ,6/6/2016 9:32:25 PM , 3481.982 ,6/6/2016 9:34:25 PM , 3469.582 ,6/6/2016 9:36:25 PM , 4090.585 ,6/6/2016 9:40:25 PM , 3666.05 ,6/6/2016 9:42:25 PM , 3745.344 ,6/6/2016 9:44:25 PM , 3819.68 ,6/6/2016 9:46:25 PM , 3857.774 ,
 26 ,6/6/2016 9:50:25 PM , 3289.126 ,6/6/2016 9:52:25 PM , 5291.501 ,6/6/2016 9:54:25 PM , 3194.319 ,6/6/2016 9:56:25 PM , 3274.528 ,6/6/2016 10:00:25 PM , 2811.305 ,6/6/2016 10:02:25 PM , 3531.683 ,6/6/2016 10:04:25 PM , 4166.275 ,6/6/2016 10:06:25 PM , 3428.018 ,
 27 ,6/6/2016 10:10:25 PM , 3749.998 ,6/6/2016 10:12:25 PM , 5553.235 ,6/6/2016 10:14:25 PM , 3748.109 ,6/6/2016 10:16:25 PM , 4073.84 ,6/6/2016 10:20:25 PM , 3986.572 ,6/6/2016 10:22:25 PM , 3526.135 ,6/6/2016 10:24:25 PM , 3874.253 ,6/6/2016 10:26:25 PM , 3718.661 ,
 28 ,6/6/2016 10:30:25 PM , 3589.532 ,6/6/2016 10:32:25 PM , 5511.134 ,6/6/2016 10:34:25 PM , 3465.119 ,6/6/2016 10:36:25 PM , 4148.007 ,6/6/2016 10:40:25 PM , 3881.621 ,6/6/2016 10:42:25 PM , 2775.814 ,6/6/2016 10:44:25 PM , 4411.923 ,6/6/2016 10:46:25 PM , 3601.502 ,
 29 ,6/6/2016 10:50:25 PM , 3498.87 ,6/6/2016 10:52:25 PM , 5155.458 ,6/6/2016 10:54:25 PM , 3453.824 ,6/6/2016 10:56:25 PM , 3893.223 ,6/6/2016 11:00:25 PM , 3964.528 ,6/6/2016 11:02:25 PM , 3884.551 ,6/6/2016 11:04:25 PM , 4390.245 ,6/6/2016 11:06:25 PM , 3690.469 ,
 30 ,6/6/2016 11:10:25 PM , 3519.861 ,6/6/2016 11:12:25 PM , 5042.28 ,6/6/2016 11:14:25 PM , 3480.912 ,6/6/2016 11:16:25 PM , 3799.01 ,6/6/2016 11:20:25 PM , 3796.798 ,6/6/2016 11:22:25 PM , 3491.155 ,6/6/2016 11:24:25 PM , 4169.727 ,6/6/2016 11:26:25 PM , 3577.795 ,
 31 ,6/6/2016 11:30:25 PM , 3356.998 ,6/6/2016 11:32:25 PM , 3527.344 ,6/6/2016 11:34:25 PM , 2717.83 ,6/6/2016 11:36:25 PM , 3856.899 ,6/6/2016 11:40:25 PM , 3759.257 ,6/6/2016 11:42:25 PM , 3802.824 ,6/6/2016 11:44:25 PM , 4470.728 ,6/6/2016 11:46:25 PM , 3741.858 ,
 32 ,6/6/2016 11:50:25 PM , 3531.024 ,6/6/2016 11:52:25 PM , 4829.342 ,6/6/2016 11:54:25 PM , 2777.049 ,6/6/2016 11:56:25 PM , 3015.256 ,6/7/2016 12:00:25 AM , 3335.181 ,6/7/2016 12:02:25 AM , 3642.681 ,6/7/2016 12:04:25 AM , 4256.9 ,6/7/2016 12:06:25 AM , 3264.215 ,
 33 ,6/7/2016 12:10:25 AM , 3567.621 ,6/7/2016 12:12:25 AM , 5155.607 ,6/7/2016 12:14:25 AM , 2437.68 ,6/7/2016 12:16:25 AM , 3506.496 ,6/7/2016 12:20:25 AM , 3860.144 ,6/7/2016 12:22:25 AM , 2545.032 ,6/7/2016 12:24:25 AM , 4116.115 ,6/7/2016 12:26:25 AM , 3424.417 ,
 34 ,6/7/2016 12:30:25 AM , 3459.663 ,6/7/2016 12:32:25 AM , 3173.675 ,6/7/2016 12:34:25 AM , 4036.386 ,6/7/2016 12:36:25 AM , 3202.584 ,6/7/2016 12:40:25 AM , 3565.664 ,6/7/2016 12:42:25 AM , 3402.606 ,6/7/2016 12:44:25 AM , 3376.819 ,6/7/2016 12:46:25 AM , 3276.467 ,
 35 ,6/7/2016 12:50:25 AM , 3466.195 ,6/7/2016 12:52:25 AM , 5571.461 ,6/7/2016 12:54:25 AM , 3299.99 ,6/7/2016 12:56:25 AM , 2940.144 ,6/7/2016 1:00:25 AM , 3358.088 ,6/7/2016 1:02:25 AM , 3557.064 ,6/7/2016 1:04:25 AM , 4113.93 ,6/7/2016 1:06:25 AM , 2795.254 ,
 36 ,6/7/2016 1:10:25 AM , 3482.294 ,6/7/2016 1:12:25 AM , 5253.895 ,6/7/2016 1:14:25 AM , 2860.039 ,6/7/2016 1:16:25 AM , 2875.669 ,6/7/2016 1:20:25 AM , 3540.795 ,6/7/2016 1:22:25 AM , 2781.396 ,6/7/2016 1:24:25 AM , 4303.066 ,6/7/2016 1:26:25 AM , 3294.74 ,
 37 ,6/7/2016 1:30:25 AM , 3220.624 ,6/7/2016 1:32:25 AM , 3725.509 ,6/7/2016 1:34:25 AM , 2699.231 ,6/7/2016 1:36:25 AM , 2704.723 ,6/7/2016 1:40:25 AM , 3589.824 ,6/7/2016 1:42:25 AM , 3994.699 ,6/7/2016 1:44:25 AM , 3330.596 ,6/7/2016 1:46:25 AM , 3510.958 ,
 38 ,6/7/2016 1:50:25 AM , 2394.178 ,6/7/2016 1:52:25 AM , 3848.875 ,6/7/2016 1:54:25 AM , 3862.044 ,6/7/2016 1:56:25 AM , 3689.302 ,6/7/2016 2:00:25 AM , 3482.312 ,6/7/2016 2:02:25 AM , 3460.156 ,6/7/2016 2:04:25 AM , 3927.335 ,6/7/2016 2:06:25 AM , 3551.555 ,
